,es,pt,
ultimate rhythm gaming--probably,hi, test
funkin--forever,,,
fuckin--forever,,,
rhythm gaming--ultimate,,,
you already know--we really out here,,,
play dead estate--on newgrounds,,,
women are real--this is official,,,
never forget to--pray to god,,,
yooooooooooo--yooooooooo,,,
pico funny--pico funny,,,
carpal tunnel--game design,,,
downscroll--i dont know what that is,,,
warning--choking hazard,,,
pico says--trans rights,,,
demotivation--every week baby,,,
how much more--can a funker take,,,
you are all--so unfunny i swear,,,
shoutouts to women--they have breasts,,,
erm--what the scallop,,,
hello everybody--my name is markiplier,,,
what is a--braincell,,,
im so--so tired,,,
this is so--skibidialicious,,,
where's my--2 million dollars,,,
it says gullible--on the ceiling,,,
hey shitass--wanna see me speed bridge,,, 
geometry dash--sex update,,,
unholy--is a femboy,,,
memory leaks--my beloved,,,
why yes this is haxe--perfect game engine,,,
haha--thighs,,,
i fucked your mom--shitlips,,,
im gonna make you--work on vs unholy,,,
trans rights--trans rights,,,
shadow mario--stinky,,,
also try--psych engine,,,
also try--fps plus,,,
also try--boob engine,,,
also try--mau engine,,,
also try--codename engine,,,
also try--vslice engine,,,
ashely is my--pal fr fr,,,
jesse i have--become south america,,,
go watch--arcane s2,,,
daniel--is so awesome and cool,,,
